run,direction,direction_family,bootstrap_count,mean_cosine_to_full,std_cosine_to_full,min_cosine_to_full,max_cosine_to_full
eyepacs_resized_dinov2_resized_10k,sharpness,quality,50,0.9984027338027954,0.0003944133850733,0.9972543120384216,0.9989630579948424
eyepacs_resized_dinov2_resized_10k,brightness,quality,50,0.9984321200847626,0.0003794468157995,0.9971656203269958,0.9993153214454652
eyepacs_resized_dinov2_resized_10k,contrast,quality,50,0.9974871134757995,0.0007378006105795,0.9955148696899414,0.9988346099853516
eyepacs_resized_dinov2_resized_10k,black_border,quality,50,0.9990392744541168,0.000239272144843,0.9983614087104796,0.9994966983795166
eyepacs_resized_dinov2_resized_10k,field_of_view,quality,50,0.9990821647644044,0.0002654470867552,0.9982742071151732,0.9994863867759703
eyepacs_resized_dinov2_resized_10k,laterality,anatomy,50,0.9771978688240052,0.0072887074721466,0.9486919641494752,0.9886224269866944
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,any_dr,disease,50,0.9902325010299684,0.0022097635962291,0.9822027683258056,0.9940242171287536
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,referable_dr,disease,50,0.9933299732208252,0.00207865390311,0.9874027967453004,0.99618399143219
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,severe_dr,disease,50,0.9925152909755708,0.0019468425356963,0.9866288900375366,0.9954906702041626
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,sharpness,quality,50,-0.0028204895183444,0.0288790869028224,-0.0589591041207313,0.0669398754835128
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,brightness,quality,50,0.9977617478370666,0.0005173346111529,0.9967183470726012,0.9989311695098876
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,contrast,quality,50,0.9953022491931915,0.0014429872781351,0.9913524985313416,0.9976462125778198
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,black_border,quality,50,0.9987383496761322,0.0003048160695403,0.997745931148529,0.999297857284546
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,field_of_view,quality,50,0.9987927091121672,0.0003063196827807,0.9980633854866028,0.9992656111717224
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,laterality,anatomy,50,-0.0064580661617219,0.0254575955951263,-0.0510294549167156,0.0456564910709857
eyepacs_resized_dinov2_resized_2k,any_dr,disease,50,0.9380843472480774,0.0208852975096625,0.8791269063949585,0.9689921140670776
eyepacs_resized_dinov2_resized_2k,referable_dr,disease,50,0.9573676073551178,0.0130317642352758,0.9105878472328186,0.9736509323120116
eyepacs_resized_dinov2_resized_2k,severe_dr,disease,50,0.9650249135494232,0.0111490647733692,0.9267335534095764,0.978546977043152
eyepacs_resized_dinov2_resized_2k,sharpness,quality,50,0.9917891943454742,0.0020731410578271,0.9859942197799684,0.9966484308242798
eyepacs_resized_dinov2_resized_2k,brightness,quality,50,0.9934498822689056,0.0015923074157096,0.988573431968689,0.9964860081672668
eyepacs_resized_dinov2_resized_2k,contrast,quality,50,0.9893723726272584,0.0031140714502857,0.9793866276741028,0.9946134090423584
eyepacs_resized_dinov2_resized_2k,black_border,quality,50,0.9953115570545196,0.0012012723675018,0.9912725687026978,0.9976193904876708
eyepacs_resized_dinov2_resized_2k,field_of_view,quality,50,0.995752580165863,0.0009275831592886,0.9924622774124146,0.997160792350769
eyepacs_resized_dinov2_resized_2k,laterality,anatomy,50,0.9098325371742249,0.0372628016107108,0.7719300985336304,0.9599180221557616
eyepacs_resized_dinov2_resized_2k_resid_remove_brightness_contrast,any_dr,disease,50,0.9416270089149475,0.0204173656410311,0.8763548135757446,0.9655767679214478
eyepacs_resized_dinov2_resized_2k_resid_remove_brightness_contrast,referable_dr,disease,50,0.9610140538215636,0.0107808297141449,0.9103211164474488,0.9751040935516356
eyepacs_resized_dinov2_resized_2k_resid_remove_brightness_contrast,severe_dr,disease,50,0.9691080141067504,0.0088483630703615,0.9375903606414796,0.9816868901252748
eyepacs_resized_dinov2_resized_2k_resid_remove_brightness_contrast,sharpness,quality,50,0.9857353711128236,0.0033550178755201,0.9787436723709106,0.9935978055000304
eyepacs_resized_dinov2_resized_2k_resid_remove_brightness_contrast,brightness,quality,50,-0.0005487550515681,0.0301209879075958,-0.0801245272159576,0.0595782808959484
eyepacs_resized_dinov2_resized_2k_resid_remove_brightness_contrast,contrast,quality,50,-0.0043697461485862,0.0348974169955603,-0.0903509855270385,0.0794891119003295
eyepacs_resized_dinov2_resized_2k_resid_remove_brightness_contrast,black_border,quality,50,0.9940179240703584,0.0015203407799461,0.989086389541626,0.9966421723365784
eyepacs_resized_dinov2_resized_2k_resid_remove_brightness_contrast,field_of_view,quality,50,0.9945721876621246,0.001222911298338,0.9899114966392516,0.9968371987342834
eyepacs_resized_dinov2_resized_2k_resid_remove_brightness_contrast,laterality,anatomy,50,0.9012099778652192,0.0343052277494771,0.8058513402938843,0.9560819864273072
eyepacs_resized_dinov2_resized_full,any_dr,disease,50,0.9967882251739502,0.0008825479461002,0.9946272969245912,0.9982526302337646
eyepacs_resized_dinov2_resized_full,referable_dr,disease,50,0.9979620659351348,0.0004872767806365,0.9963796734809875,0.9988964796066284
eyepacs_resized_dinov2_resized_full,severe_dr,disease,50,0.997918380498886,0.0005258669390245,0.9966676235198976,0.998632311820984
eyepacs_resized_dinov2_resized_full,sharpness,quality,50,0.9995584452152252,0.0001294656288763,0.999216616153717,0.9997475743293762
eyepacs_resized_dinov2_resized_full,brightness,quality,50,0.999543286561966,0.0001409094732889,0.998901665210724,0.9997517466545104
eyepacs_resized_dinov2_resized_full,contrast,quality,50,0.999283001422882,0.0002413774526707,0.9983268976211548,0.9996030926704408
eyepacs_resized_dinov2_resized_full,black_border,quality,50,0.9997308373451232,7.568756449735802e-05,0.999495804309845,0.999831199645996
eyepacs_resized_dinov2_resized_full,field_of_view,quality,50,0.9997348594665528,7.183215027052118e-05,0.9995284080505372,0.9998584985733032
eyepacs_resized_dinov2_resized_full,laterality,anatomy,50,0.9930398309230803,0.0022214573577414,0.9870927333831788,0.9971582889556884
eyepacs_resized_dinov2_resized_full_resid_remove_sharpness_laterality,any_dr,disease,50,0.9969829857349396,0.0007229779024441,0.9953166246414183,0.9982030391693116
eyepacs_resized_dinov2_resized_full_resid_remove_sharpness_laterality,referable_dr,disease,50,0.9979963994026184,0.0004688011263967,0.9960852265357972,0.9988932609558104
eyepacs_resized_dinov2_resized_full_resid_remove_sharpness_laterality,severe_dr,disease,50,0.9980213356018066,0.0004741421131096,0.9965604543685912,0.9985909461975098
eyepacs_resized_dinov2_resized_full_resid_remove_sharpness_laterality,sharpness,quality,50,-0.0024796075839549,0.0397586861836597,-0.123687520623207,0.1113257706165313
eyepacs_resized_dinov2_resized_full_resid_remove_sharpness_laterality,brightness,quality,50,0.9993762290477752,0.0001968495259478,0.9984496235847472,0.9996258020401
eyepacs_resized_dinov2_resized_full_resid_remove_sharpness_laterality,contrast,quality,50,0.9986677539348602,0.0004437527351984,0.9970284700393676,0.9993374347686768
eyepacs_resized_dinov2_resized_full_resid_remove_sharpness_laterality,black_border,quality,50,0.9996232903003692,0.0001111905495139,0.9992741346359252,0.9997424483299256
eyepacs_resized_dinov2_resized_full_resid_remove_sharpness_laterality,field_of_view,quality,50,0.999635578393936,8.319283868527813e-05,0.9993422031402588,0.9997968077659608
eyepacs_resized_dinov2_resized_full_resid_remove_sharpness_laterality,laterality,anatomy,50,-0.0001087471283972,0.03928062405356,-0.0680823922157287,0.1200603991746902
